MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,,,997876|Bacteroides dorei,,,,,amaZon ETD|MS:1001542,,,,,,skin of trunk,,,,,,Guinea,,,,,,,UBERON:2001428,
,,,,997875|Bacteroides dorei CL02T00C15,,,,,amaZon Speed ETD|MS:1002300,,,,,,spleen,,,,,,Guinea-Bissau,,,,,,,UBERON:0000463,
,,,,997875|Bacteroides dorei,,,,,amaZon Speed|MS:1002301,,,,,,sputum,,,,,,Guyana,,,,,,,UBERON:0009953,
,,,,997874|Bacteroides cellulosilyticus CL02T12C19,,,,,amaZon X|MS:1001546,,,,,,stem of Y-shaped fibrocartilage skeleton of ventral pouch,,,,,,Haiti,,,,,,,UBERON:0005268,
,,,,997874|Bacteroides cellulosilyticus,,,,,apex IV|MS:1000141,,,,,,stomach,,,,,,Honduras,,,,,,,UBERON:0000362,
,,,,997873|Bacteroides caccae CL03T12C61,,,,,apex Q|MS:1000142,,,,,,sweat,,,,,,Hungary,,,,,,,UBERON:0000966,
,,,,997873|Bacteroides caccae,,,,,apex ultra|MS:1000695,,,,,,synovial biopsy,,,,,,Iceland,,,,,,,UBERON:0014892,
,,,,997829|Porphyromonas sp. KLE1280,,,,,API 100|MS:1002585,,,,,,synovial fluid,,,,,,India,,,,,,,UBERON:0001471,
,,,,997823|Monopteryx inpae,,,,,API 100LC|MS:1002586,,,,,,thymus,,,,,,Indonesia,,,,,,,UBERON:0016628,
,,,,997746|Phlomis viscosa,,,,,API 150EX Prep|MS:1000144,,,,,,trachea,,,,,,Iran,,,,,,,UBERON:0001797,
,,,,997739|Phlomis samia,,,,,API 150EX|MS:1000143,,,,,,upper digestive tract,,,,,,Iraq,,,,,,,UBERON:0008251,
,,,,997737|Phlomis rigida,,,,,API 165|MS:1002587,,,,,,urine,,,,,,Ireland,,,,,,,UBERON:0000106,
,,,,997735|Phlomoides pratensis,,,,,API 2000|MS:1000145,,,,,,uterine cervix,,,,,,Isle of Man,,,,,,,UBERON:0001068,
,,,,997732|Phlomis nissolii,,,,,API 300|MS:1002588,,,,,,uterus,,,,,,Israel,,,,,,,,
,,,,997731|Phlomis monocephala,,,,,API 3000|MS:1000146,,,,,,vagina,,,,,,Italy,,,,,,,,
,,,,997729|Phlomis lycia,,,,,API 3200|MS:1000653,,,,,,vitreous humor,,,,,,Jamaica,,,,,,,,
,,,,997728|Phlomis lunariifolia,,,,,API 350|MS:1002589,,,,,,water vascular system,,,,,,Japan,,,,,,,,
,,,,997727|Phlomis longifolia,,,,,API 365|MS:1002590,,,,,,zygote stage,,,,,,Jersey,,,,,,,,
,,,,997726|Phlomis linearis,,,,,API 4000|MS:1000147,,,,,,,,,,,,Jordan,,,,,,,,
,,,,997724|Phlomis lanceolata,,,,,API 5000|MS:1000654,,,,,,,,,,,,Kazakhstan,,,,,,,,
