MWB,REDU
1030279|Stagonospora convolvuli,1030279|Stagonospora convolvuli
1030656|Corydalis heterocarpa,1030656|Corydalis heterocarpa
1031515|Euphorbia aucheri,1031515|Euphorbia aucheri
1031517|Euphorbia bungei,1031517|Euphorbia bungei
1031518|Euphorbia connata,1031518|Euphorbia connata
1031519|Euphorbia decipiens,1031519|Euphorbia decipiens
1031521|Euphorbia franchetii,1031521|Euphorbia franchetii
1031525|Euphorbia kopetdaghi,1031525|Euphorbia kopetdaghi
1031526|Euphorbia larica,1031526|Euphorbia larica
1031527|Euphorbia marschalliana,1031527|Euphorbia marschalliana
1031528|Euphorbia microsciadia,1031528|Euphorbia microsciadia
1031529|Euphorbia osyridea,1031529|Euphorbia osyridea
1031534|Euphorbia teheranica,1031534|Euphorbia teheranica
1031547|Clathrina clathrus,1031547|Clathrina clathrus
1031551|Clathrina coriacea,1031551|Clathrina coriacea
1031565|Morus insignis,1031565|Morus insignis
1031566|Morus mesozygia,1031566|Morus mesozygia
1032453|Pteris longipinna,1032453|Pteris longipinna
1032505|Fusobacterium sp. OBRC1,1032505|Fusobacterium sp. OBRC1
1032508|Ectomyelois ceratoniae,1032508|Ectomyelois ceratoniae
1032529|Amanita eliae,1032529|Amanita eliae
1032530|Amanita hyperborea,1032530|Amanita hyperborea
1032552|Clitocybe rhizophora,1032552|Clitocybe rhizophora
1032562|Conocybe tenera,1032562|Conocybe tenera
1032592|Cortinarius pseudocolus,1032592|Cortinarius pseudocolus
1032596|Cortinarius subpurpurascens,1032596|Cortinarius subpurpurascens
1032598|Cortinarius turmalis,1032598|Cortinarius turmalis
1032651|Mucuna interrupta,1032651|Mucuna interrupta
1032769|Hygrophorus persoonii,1032769|Hygrophorus persoonii
1032823|Inocybe patouillardii,1032823|Inocybe patouillardii
1032834|Lactarius atlanticus,1032834|Lactarius atlanticus
1032839|Lactarius glutinopallens,1032839|Lactarius glutinopallens
1032844|Lactarius pergamenus,1032844|Lactarius pergamenus
1032864|Lyophyllum loricatum,1032864|Lyophyllum loricatum
1032902|Melanoleuca grammopodia,1032902|Melanoleuca grammopodia
1033235|Centaurea bracteata,1033235|Centaurea bracteata
1033250|Mycena megaspora,1033250|Mycena megaspora
1033252|Mycena metata,1033252|Mycena metata
1033263|Mycena rosella,1033263|Mycena rosella
1033281|Mycena vitilis,1033281|Mycena vitilis
1033290|Panaeolus antillarum,1033290|Panaeolus antillarum
1033291|Panaeolus campanulatus,1033291|Panaeolus campanulatus
1033293|Panaeolus rickenii,1033293|Panaeolus rickenii
103336|Agama agama,103336|Agama agama
103349|Vitis rotundifolia,103349|Vitis rotundifolia
103351|Vitis amurensis,103351|Vitis amurensis
103352|Vitis rupestris,103352|Vitis rupestris
103353|Vitis arizonica,103353|Vitis arizonica
103354|Vitis davidii,103354|Vitis davidii
103355|Vitis labrusca,103355|Vitis labrusca
103376|Stereaceae,103376|Stereaceae
1033777|Russula alutacea,1033777|Russula alutacea
1033806|Halorhabdus tiamatea,1033806|Halorhabdus tiamatea
1033816|Xylaria longiana,1033816|Xylaria longiana
1033851|Peucedanum guangxiense,1033851|Peucedanum guangxiense
103387|Stereum ostrea,103387|Stereum ostrea
103391|Podoscypha,103391|Podoscypha
103394|Veluticeps,103394|Veluticeps
1033992|Pseudomonas oleovorans,1033992|Pseudomonas oleovorans
1034019|Crossopetalum gaumeri,1034019|Crossopetalum gaumeri
1034024|Crossopetalum uragoga,1034024|Crossopetalum uragoga
1034029|Mortonia diffusa,1034029|Mortonia diffusa
1034030|Mortonia hidalgensis,1034030|Mortonia hidalgensis
1034031|Mortonia scabrella,1034031|Mortonia scabrella
1034034|Plenckia,1034034|Plenckia
1034035|Plenckia populnea,1034035|Plenckia populnea
1034037|Schaefferia argentinensis,1034037|Schaefferia argentinensis
1034038|Schaefferia cuneifolia,1034038|Schaefferia cuneifolia
1034045|Zinowiewia costaricensis,1034045|Zinowiewia costaricensis
1034059|Uraria picta,1034059|Uraria picta
103429|Daldinia loculata,103429|Daldinia loculata
1034652|Azadinium poporum,1034652|Azadinium poporum
103474|Cestrum,103474|Cestrum
1034768|Gordonia polyisoprenivorans,1034768|Gordonia polyisoprenivorans
1034775|Stemonoporus affinis,1034775|Stemonoporus affinis
1034777|Stemonoporus cordifolius,1034777|Stemonoporus cordifolius
1034778|Stemonoporus elegans,1034778|Stemonoporus elegans
1034785|Stemonoporus oblongifolius,1034785|Stemonoporus oblongifolius
1034786|Stemonoporus petiolaris,1034786|Stemonoporus petiolaris
103480|Castanea crenata,103480|Castanea crenata
103481|Quercus variabilis,103481|Quercus variabilis
103482|Quercus serrata,103482|Quercus serrata
1034828|Chromulina ochromonoides,1034828|Chromulina ochromonoides
103483|Quercus aliena,103483|Quercus aliena
103484|Quercus dentata,103484|Quercus dentata
103485|Quercus mongolica,103485|Quercus mongolica
103488|Quercus salicina,103488|Quercus salicina
103489|Quercus glauca,103489|Quercus glauca
103490|Quercus gilva,103490|Quercus gilva
